acquisitiondate,boro,zipcode,address,eapply,location,acres,typecategory,retired
1944 Aug 01 12:00:00 AM,Manhattan,10037,"NA, New York, NY",Abraham Lincoln Playground,5 Ave. and E. 135 St.,0.991,Community Park,FALSE
1938 Jan 01 12:00:00 AM,Manhattan,10003,"NA, New York, NY",Abe Lebewohl Park,E. 10 St. and 2 Ave.,0.15600000000000003,Triangle/Plaza,FALSE
2015 Nov 01 12:00:00 AM,Manhattan,10012,"1 WASHINGTON SQ VLLGE, New York, NY",Mercer Playground,Mercer St. bet. Houston St. and W. 4 St.,0.446,Playground,FALSE
1938 Jun 16 12:00:00 AM,Manhattan,10002,"NA, New York, NY",Cherry Clinton Playground,Corner of Cherry St. and Clinton St.,0.48300000000000004,Playground,FALSE
NA,Manhattan,10026,"NA, New York, NY",Samuel Marx Triangle,"7 Ave., St. Nicholas Ave., W. 115 St.",0.03,Triangle/Plaza,FALSE
1945 Apr 16 12:00:00 AM,Manhattan,10035,"NA, New York, NY",Harlem Art Park,E. 120 St. and Sylvan Pl.,0.347,Neighborhood Park,FALSE
1937 Nov 04 12:00:00 AM,Manhattan,10030,"NA, New York, NY",Fred Samuel Playground,"Lenox Ave., W. 139 St. To W. 140 St.",0.688,Playground,FALSE
1938 Jan 01 12:00:00 AM,Manhattan,10003,"NA, New York, NY",Abe Lebewohl Triangle,E. 10 St. and Stuyvesant Pl.,0.014,Triangle/Plaza,FALSE
NA,Manhattan,10014,"NA, New York, NY",Father Demo Square,"Ave. of Americas, Bleecker St. and Carmine St.",0.24700000000000003,Triangle/Plaza,FALSE
1943 Jun 05 12:00:00 AM,Manhattan,10014,"NA, New York, NY",McCarthy Square,"7 Ave., Charles St. and Waverly Pl.",0.039,Triangle/Plaza,FALSE
NA,Manhattan,10038,"NA, New York, NY",Pearl St Playground,Pearl St. bet. Fulton St. and Beekman St.,0.34199999999999997,Playground,FALSE
1849 Mar 31 12:00:00 AM,Manhattan,10023,"NA, New York, NY",Sherman Square,Broadway and Amsterdam Ave. At W. 70 St.,0.066,Triangle/Plaza,FALSE
NA,Manhattan,10002,"NA, New York, NY",Staraus Square,"Canal St., Rutgers St. and E. Broadway",0.12000000000000001,Triangle/Plaza,FALSE
1939 Oct 01 12:00:00 AM,Manhattan,10038,"NA, New York, NY",Catherine Slip Malls,Catherine Slip bet. Cherry St. and South St.,0.25,Mall,FALSE
1831 Apr 22 12:00:00 AM,Manhattan,10014,"NA, New York, NY",Abingdon Square,"Hudson St, 8 Av, W 12 St",0.222,Triangle/Plaza,FALSE
1837 Apr 05 12:00:00 AM,Manhattan,10014,"NA, New York, NY",Christopher Park,"Christopher St, Grove St, W 4 St",0.186,Triangle/Plaza,FALSE
1896 Jun 18 12:00:00 AM,Manhattan,10026,"NA, New York, NY",A Philip Randolph Square,"7 Av, St Nicholas Av, W 117 St",0.07400000000000001,Triangle/Plaza,FALSE
1870 Dec 23 12:00:00 AM,Manhattan,10023,"NA, New York, NY",Dante Park,"Broadway, Columbus Av, W 63 St",0.14200000000000002,Triangle/Plaza,FALSE
1825 Feb 24 12:00:00 AM,Manhattan,10002,"NA, New York, NY",Ahearn Park,"Grand St, E Broadway and Willet St",0.094,Triangle/Plaza,FALSE
1797 Jun 20 12:00:00 AM,Manhattan,10013,"NA, New York, NY",Duane Park,"Hudson St., Duane St.",0.115,Triangle/Plaza,FALSE
NA,Manhattan,10031,"NA, New York, NY",Donnellan Square,"St Nicholas Av, W 150 St To St Nicholas Av",0.10800000000000001,Triangle/Plaza,FALSE
1930 Apr 23 12:00:00 AM,Manhattan,10040,"NA, New York, NY",Amelia Gorman Park,"Broadway To Wadsworth Terr, W 189 St To W 190 St",1.8900000000000001,Neighborhood Park,FALSE
1893 Nov 01 12:00:00 AM,Manhattan,10039,"NA, New York, NY",Brigadier General Charles Young Triangle,"7 Ave., Macombs Pl., At W. 153 St.",0.882,Triangle/Plaza,FALSE
1870 Aug 16 12:00:00 AM,Manhattan,10027,"NA, New York, NY",Hancock Park,"St Nicholas Av, Manhattan Av, W 123 St",0.067,Triangle/Plaza,FALSE
1906 Jan 10 12:00:00 AM,Manhattan,10031,"NA, New York, NY",Montefiore SquarePark,"Broadway, Hamilton Pl., W. 138 St.",0.33999999999999997,Triangle/Plaza,FALSE
1955 Oct 20 12:00:00 AM,Manhattan,10013,"NA, New York, NY",Grand Canal Court,"Thompson St., Canal St., Ave. of the Americas",0.134,Recreational Field/Courts,FALSE
1876 May 04 12:00:00 AM,Manhattan,10014,"NA, New York, NY",Jackson Square,"8 Ave. To Greenwich Ave., Horatio St.",0.227,Triangle/Plaza,FALSE
1937 Apr 16 12:00:00 AM,Manhattan,10032,"NA, New York, NY",McKenna Square,"W. 165 St., Amsterdam Ave. To Audubon Ave.",0.222,Triangle/Plaza,FALSE
